"Indeksi cen storitev pri proizvajalcih, po dejavnostih (SKD 2008), Slovenija, èetrtletno"

"ÈETRTLETJE";"SKD DEJAVNOST";"Tekoèe èetrtletje / povpreèje leta 2015"
"2010Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";113.20
"2010Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";111.81
"2010Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";111.05
"2010Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";110.32
"2011Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";109.91
"2011Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";109.30
"2011Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";108.51
"2011Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";108.22
"2012Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";106.93
"2012Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";106.27
"2012Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";105.77
"2012Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";105.32
"2013Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";103.76
"2013Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";103.61
"2013Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";102.63
"2013Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";102.31
"2014Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.66
"2014Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.68
"2014Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.44
"2014Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.50
"2015Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";99.97
"2015Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";99.94
"2015Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.11
"2015Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";99.98
"2016Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.44
"2016Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.09
"2016Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";100.02
"2016Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";99.96
"2017Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";104.88
"2017Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";104.88
"2017Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";104.68
"2017Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";106.19
"2018Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";107.69
"2018Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";107.83
"2018Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";108.89
"2018Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";108.85
"2019Q1";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";110.54
"2019Q2";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";111.57
"2019Q3";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";112.01
"2019Q4";"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje";111.86
