"SKD DEJAVNOST","ÈETRTLETJE","Tekoèe èetrtletje / povpreèje leta 2015"
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2010Q1",113.20
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2010Q3",111.05
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2011Q1",109.91
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2011Q3",108.51
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2012Q1",106.93
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2012Q3",105.77
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2013Q1",103.76
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2013Q3",102.63
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2014Q1",100.66
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2014Q3",100.44
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2015Q1",99.97
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2015Q3",100.11
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2016Q1",100.44
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2016Q3",100.02
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2017Q1",104.88
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2017Q3",104.68
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2018Q1",107.69
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2018Q3",108.89
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2019Q1",110.54
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2019Q3",112.01
"M71.1 Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje","2020Q1",112.52
